player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Brad Novak,4,111,1,69,2016,Gannon University
Drew Robinson,3,29,0,17,2016,Gannon University
Zach Smith,1,23,1,23,2016,Gannon University
Bryce Mostoller,5,20,1,14,2016,Gannon University
Brian Matthews,2,16,0,10,2016,Gannon University
Danavian Clay,2,14,0,9,2016,Gannon University
Brad Novak,3,73,0,43,2016,Slippery Rock University
Richie Sanders,3,42,0,26,2016,Slippery Rock University
Danavian Clay,3,36,1,21,2016,Slippery Rock University
Pierce Bauer,3,16,2,10,2016,Slippery Rock University
Joe Carbone,1,14,0,14,2016,Slippery Rock University
Brian Matthews,1,10,0,10,2016,Slippery Rock University
Bryce Mostoller,2,10,0,6,2016,Slippery Rock University
Zach Smith,1,7,0,7,2016,Slippery Rock University
Drew Robinson,1,4,0,4,2016,Slippery Rock University
E'Andre Smith,1,-4,0,0,2016,Slippery Rock University
Richie Sanders,3,34,0,17,2016,Edinboro University of Pennsylvania
Pierce Bauer,3,23,0,11,2016,Edinboro University of Pennsylvania
Danavian Clay,3,19,0,12,2016,Edinboro University of Pennsylvania
Zach Smith,1,17,0,17,2016,Edinboro University of Pennsylvania
Drew Robinson,3,17,0,8,2016,Edinboro University of Pennsylvania
Brad Novak,1,14,0,14,2016,Edinboro University of Pennsylvania
Bryce Mostoller,2,7,0,8,2016,Edinboro University of Pennsylvania
Clay Waldron,1,2,0,2,2016,Edinboro University of Pennsylvania
Danavian Clay,10,114,2,23,2016,Seton Hill University
Clay Waldron,3,94,0,42,2016,Seton Hill University
Brian Matthews,3,74,0,32,2016,Seton Hill University
Brad Novak,4,53,1,33,2016,Seton Hill University
Zach Smith,2,32,0,17,2016,Seton Hill University
Drew Robinson,2,14,0,9,2016,Seton Hill University
Pierce Bauer,1,10,0,10,2016,Seton Hill University
Bryce Mostoller,1,9,1,9,2016,Seton Hill University
E'Andre Smith,1,6,0,6,2016,Seton Hill University
Brad Novak,2,48,0,35,2016,California University of Pennsylvania
Bryce Mostoller,2,42,0,24,2016,California University of Pennsylvania
Danavian Clay,2,20,0,10,2016,California University of Pennsylvania
Trae Williams,1,18,0,18,2016,California University of Pennsylvania
Brian Matthews,2,17,0,16,2016,California University of Pennsylvania
Pierce Bauer,2,13,0,11,2016,California University of Pennsylvania
E'Andre Smith,1,12,0,12,2016,California University of Pennsylvania
Zach Smith,1,5,0,5,2016,California University of Pennsylvania
Drew Robinson,2,3,0,3,2016,California University of Pennsylvania
Ryan Kronmiller,1,3,0,3,2016,California University of Pennsylvania
Richie Sanders,2,1,0,1,2016,California University of Pennsylvania
