year,opponent,mu_total_first_downs,opp_total_first_downs,mu_rushing_first_downs,opp_rushing_first_downs,mu_passing_first_downs,opp_passing_first_downs,mu_penalty_first_downs,opp_penalty_first_downs,mu_rushing_net,opp_rushing_net,mu_rushing_attempts,opp_rushing_attempts,mu_rushing_tds,opp_rushing_tds,mu_passing_net,opp_passing_net,mu_completions,mu_attempts,mu_passing_ints,opp_completions,opp_attempts,opp_passing_ints,mu_td_passes,opp_td_passes,mu_total_yards,opp_total_yards,mu_plays,opp_plays,mu_fumbles,opp_fumbles,mu_fumbles_lost,opp_fumbles_lost,mu_penalties,opp_penalties,mu_penalty_yards,opp_penalty_yards,mu_punts,opp_punts,mu_punt_yards,opp_punt_yards,mu_punt_avg,opp_punt_avg,mu_punt_returns,opp_punt_returns,mu_punt_return_yards,opp_punt_return_yards,mu_punt_return_tds,opp_punt_return_tds,mu_punt_return_avg,opp_punt_return_avg,mu_kickoff_returns,opp_kickoff_returns,mu_kickoff_return_yards,opp_kickoff_return_yards,mu_kickoff_return_tds,opp_kickoff_return_tds,mu_kickoff_return_avg,opp_kickoff_return_avg,mu_ints,opp_ints,mu_int_return_yards,opp_int_return_yards,mu_int_return_tds,opp_int_return_tds
2016,East Stroudsburg University,19,19,8,10,10,6,1,3,111,276,32,35,1,4,314,159,22,38,1,14,27,2,3,0,425,435,70,62,0,1,0,0,7,7,77,56,6,5,241,248,40.166666666666664,49.6,2,4,15,15,0,0,7.5,3.75,5,4,115,83,0,0,23.0,20.75,2,1,0,0,0,0
2016,Clarion University,21,25,9,9,12,14,0,2,212,179,46,31,2,3,306,313,17,25,1,21,38,0,3,2,518,492,71,69,0,1,0,1,8,5,89,44,4,4,142,105,35.5,26.25,1,2,12,18,0,0,12.0,9.0,6,2,126,41,0,0,21.0,20.5,0,1,0,0,0,0
2016,Gannon University,14,24,6,13,7,10,1,1,139,224,33,48,2,3,213,228,17,26,2,18,27,0,3,2,352,452,59,75,0,2,0,0,6,2,65,25,6,6,258,206,43.0,34.333333333333336,2,3,48,20,0,0,24.0,6.666666666666667,5,6,132,107,0,0,26.4,17.833333333333332,0,2,0,27,0,0
2016,Slippery Rock University,16,23,7,7,8,15,1,1,112,101,32,38,0,2,208,310,19,30,1,29,38,0,3,2,320,411,62,76,4,2,1,1,11,9,71,96,3,3,104,121,34.666666666666664,40.333333333333336,2,2,,5,1,0,0.0,2.5,7,4,162,93,0,0,23.142857142857142,23.25,0,1,0,0,0,0
2016,Edinboro University of Pennsylvania,12,25,5,3,6,21,1,1,96,66,32,25,1,1,133,435,17,32,1,28,42,0,0,4,229,501,64,67,3,3,0,2,5,4,45,41,7,2,285,86,40.714285714285715,43.0,2,4,11,53,0,1,5.5,13.25,7,3,124,52,0,0,17.714285714285715,17.333333333333332,0,1,0,5,0,0
2016,Seton Hill University,23,21,5,3,17,18,1,0,72,157,30,32,1,4,406,458,27,59,3,28,46,0,4,4,478,615,89,78,0,1,0,0,9,11,103,114,3,7,153,260,51.0,37.142857142857146,6,0,84,0,1,0,14.0,0.0,9,3,248,33,0,0,27.555555555555557,11.0,0,3,0,0,0,0
2016,California University of Pennsylvania,11,31,1,16,9,13,1,2,-9,265,18,48,1,3,182,343,18,39,0,18,33,1,0,3,173,608,57,81,2,1,2,1,7,9,64,90,8,2,278,43,34.75,21.5,2,4,77,26,1,0,38.5,6.5,6,2,133,18,0,0,22.166666666666668,9.0,1,0,0,0,0,0
2016,Indiana University of Pennsylvania,22,14,10,7,11,5,1,2,149,160,40,36,1,1,243,207,22,37,2,7,17,1,1,2,392,367,77,53,0,1,0,1,5,5,51,48,2,4,72,172,36.0,43.0,3,0,13,0,0,0,4.333333333333333,0.0,5,3,132,52,0,0,26.4,17.333333333333332,1,2,4,30,0,1
2016,Lock Haven University,22,23,9,13,12,8,1,2,230,186,36,39,4,1,243,223,18,22,0,19,39,2,2,1,473,409,58,78,0,0,0,0,7,7,69,78,3,3,103,108,34.333333333333336,36.0,1,0,6,0,0,0,6.0,0.0,3,6,81,79,0,0,27.0,13.166666666666666,2,0,53,0,1,0
2017,Hillsdale College,16,17,5,7,10,9,1,1,96,170,25,36,0,1,252,198,16,38,1,17,33,1,1,1,348,368,63,69,1,0,0,0,4,5,20,50,4,5,144,193,36.0,38.6,1,1,10,2,0,0,10.0,2.0,4,3,70,65,0,0,17.5,21.666666666666668,1,1,0,7,0,0
2017,Kutztown University,17,16,5,5,11,11,1,0,104,111,30,36,1,1,203,272,21,34,0,21,28,0,1,2,307,383,64,64,2,0,1,0,0,8,0,75,4,3,166,119,41.5,39.666666666666664,2,3,14,28,0,0,7.0,9.333333333333334,4,3,57,68,0,0,14.25,22.666666666666668,0,0,0,0,0,0
2017,East Stroudsburg University,23,15,9,6,12,9,2,0,174,186,40,36,3,1,277,208,20,31,3,14,32,0,1,1,451,394,71,68,2,1,2,1,6,10,42,88,4,7,172,237,43.0,33.857142857142854,0,2,0,17,0,0,0.0,8.5,3,3,55,108,0,0,18.333333333333332,36.0,0,3,0,5,0,0
2017,Clarion University,13,21,2,11,9,9,2,1,92,141,25,44,1,1,224,195,20,31,0,13,30,2,2,1,316,336,56,74,0,0,0,0,7,4,72,53,9,8,369,281,41.0,35.125,3,5,13,61,0,0,4.333333333333333,12.2,3,4,71,71,0,0,23.666666666666668,17.75,2,0,76,0,0,0
2017,Gannon University,19,20,3,10,13,9,3,1,82,205,32,34,2,2,315,220,16,27,0,17,33,1,1,1,397,425,59,67,1,1,1,0,8,13,93,113,4,3,184,124,46.0,41.333333333333336,1,1,3,0,0,0,3.0,0.0,3,2,70,54,0,0,23.333333333333332,27.0,1,0,38,0,0,0
2017,Slippery Rock University,22,24,4,10,14,13,4,1,66,114,30,32,2,0,326,335,26,40,0,26,39,0,2,4,392,449,70,71,0,0,0,0,6,7,55,54,5,5,231,221,46.2,44.2,3,4,32,36,0,0,10.666666666666666,9.0,6,4,106,131,0,0,17.666666666666668,32.75,0,0,0,0,0,0
2017,Edinboro University of Pennsylvania,19,12,9,5,10,4,0,3,113,160,32,41,2,4,172,71,25,37,0,8,17,2,1,0,285,231,69,58,4,0,3,0,8,3,85,25,3,5,156,179,52.0,35.8,4,0,8,0,0,0,2.0,0.0,4,4,101,75,0,0,25.25,18.75,2,0,76,0,0,0
2017,Seton Hill University,17,26,9,11,8,15,0,0,292,205,39,39,1,1,131,307,12,20,0,26,40,1,3,1,423,512,59,79,0,3,0,2,5,6,38,51,3,2,138,67,46.0,33.5,0,2,0,14,0,0,0.0,7.0,2,5,30,97,0,0,15.0,19.4,1,0,62,0,1,0
2017,California University of Pennsylvania,17,22,2,10,15,11,0,1,47,118,25,31,2,1,274,246,21,43,2,25,45,0,1,1,321,364,68,76,2,4,0,2,6,2,45,11,4,4,114,140,28.5,35.0,0,3,0,25,0,0,0.0,8.333333333333334,6,6,125,146,0,0,20.833333333333332,24.333333333333332,0,2,0,32,0,1
2017,Indiana University of Pennsylvania,18,24,4,16,10,8,4,0,46,248,27,53,0,2,133,116,15,33,3,17,30,1,1,2,179,364,60,83,2,0,1,0,9,11,51,113,2,2,64,74,32.0,37.0,1,0,0,0,0,0,0.0,0.0,6,3,102,71,0,0,17.0,23.666666666666668,1,3,0,15,0,0
2017,Lock Haven University,20,15,11,10,8,5,1,0,247,193,43,41,1,0,163,81,11,19,3,10,26,1,2,1,410,274,62,67,2,1,1,0,7,8,89,96,3,6,134,217,44.666666666666664,36.166666666666664,2,2,1,12,0,0,0.5,6.0,3,5,101,107,0,0,33.666666666666664,21.4,1,3,0,51,0,0
2018,Hillsdale College,18,17,7,7,10,8,1,2,131,92,31,34,0,1,140,205,18,34,1,20,29,0,1,1,271,297,65,63,1,4,0,1,4,3,43,31,5,5,268,219,53.6,43.8,1,1,5,15,0,0,5.0,15.0,2,3,46,89,0,0,23.0,29.666666666666668,0,1,0,0,0,0
2018,Tiffin University (Ohio),21,22,7,6,10,13,4,3,137,130,28,37,1,1,205,301,20,30,0,25,35,0,1,2,342,431,58,72,1,1,1,0,5,11,54,138,3,3,115,126,38.333333333333336,42.0,2,2,9,5,0,0,4.5,2.5,5,5,128,86,0,0,25.6,17.2,0,0,0,0,0,0
